Ndex,Pokémon,Type1,Type2,Variance,Generation,Evolution,Rarity,NewSnap
474,Porygon-Z,Normal,Normal,,4,3,Standard,0
475,Gallade,Psychic,Fighting,,4,3,Standard,0
476,Probopass,Rock,Steel,,4,2,Standard,0
477,Dusknoir,Ghost,Ghost,,4,3,Standard,0
478,Froslass,Ice,Ghost,,4,2,Standard,1
479,Rotom,Electric,Ghost,,4,0,Standard,0
479,Rotom,Electric,Fire,,4,0,Standard,0
479,Rotom,Electric,Water,,4,0,Standard,0
479,Rotom,Electric,Ice,,4,0,Standard,0
479,Rotom,Electric,Flying,,4,0,Standard,0
479,Rotom,Electric,Grass,,4,0,Standard,0
480,Uxie,Psychic,Psychic,,4,0,Sub-Legendary,0
481,Mesprit,Psychic,Psychic,,4,0,Sub-Legendary,0
482,Azelf,Psychic,Psychic,,4,0,Sub-Legendary,0
483,Dialga,Steel,Dragon,,4,0,Legendary,0
484,Palkia,Water,Dragon,,4,0,Legendary,0
485,Heatran,Fire,Steel,,4,0,Sub-Legendary,0
486,Regigigas,Normal,Normal,,4,0,Sub-Legendary,0
487,Giratina,Ghost,Dragon,,4,0,Legendary,0
488,Cresselia,Psychic,Psychic,,4,0,Sub-Legendary,0
489,Phione,Water,Water,,4,0,Mythical,0
490,Manaphy,Water,Water,,4,0,Mythical,1
491,Darkrai,Dark,Dark,,4,0,Mythical,0
492,Shaymin,Grass,Grass,,4,0,Mythical,1
492,Shaymin,Grass,Flying,,4,0,Mythical,0
493,Arceus,Normal,Normal,,4,0,Mythical,0
494,Victini,Psychic,Fire,,5,0,Mythical,0
495,Snivy,Grass,Grass,,5,1,Starter,0
496,Servine,Grass,Grass,,5,2,Starter,0
497,Serperior,Grass,Grass,,5,3,Starter,1
498,Tepig,Fire,Fire,,5,1,Starter,2
499,Pignite,Fire,Fighting,,5,2,Starter,0
500,Emboar,Fire,Fighting,,5,3,Starter,0
501,Oshawott,Water,Water,,5,1,Starter,0
502,Dewott,Water,Water,,5,2,Starter,0
503,Samurott,Water,Water,,5,3,Starter,0
504,Patrat,Normal,Normal,,5,1,Standard,0
505,Watchog,Normal,Normal,,5,2,Standard,0
506,Lillipup,Normal,Normal,,5,1,Standard,0
507,Herdier,Normal,Normal,,5,2,Standard,0
508,Stoutland,Normal,Normal,,5,3,Standard,1
509,Purrloin,Dark,Dark,,5,1,Standard,0
510,Liepard,Dark,Dark,,5,2,Standard,1
511,Pansage,Grass,Grass,,5,1,Standard,0
512,Simisage,Grass,Grass,,5,2,Standard,0
513,Pansear,Fire,Fire,,5,1,Standard,0
514,Simisear,Fire,Fire,,5,2,Standard,0
515,Panpour,Water,Water,,5,1,Standard,0
516,Simipour,Water,Water,,5,2,Standard,0
517,Munna,Psychic,Psychic,,5,1,Standard,0
518,Musharna,Psychic,Psychic,,5,2,Standard,0
519,Pidove,Normal,Flying,,5,1,Standard,0
520,Tranquill,Normal,Flying,,5,2,Standard,0
521,Unfezant,Normal,Flying,,5,3,Standard,1
522,Blitzle,Electric,Electric,,5,1,Standard,0
523,Zebstrika,Electric,Electric,,5,2,Standard,0
524,Roggenrola,Rock,Rock,,5,1,Standard,0
525,Boldore,Rock,Rock,,5,2,Standard,0
526,Gigalith,Rock,Rock,,5,3,Standard,0
527,Woobat,Psychic,Flying,,5,1,Standard,1
528,Swoobat,Psychic,Flying,,5,2,Standard,0
529,Drilbur,Ground,Ground,,5,1,Standard,2
530,Excadrill,Ground,Steel,,5,2,Standard,0
531,Audino,Normal,Normal,,5,0,Standard,1
532,Timburr,Fighting,Fighting,,5,1,Standard,0
533,Gurdurr,Fighting,Fighting,,5,2,Standard,0
534,Conkeldurr,Fighting,Fighting,,5,3,Standard,0
535,Tympole,Water,Water,,5,1,Standard,0
536,Palpitoad,Water,Ground,,5,2,Standard,0
537,Seismitoad,Water,Ground,,5,3,Standard,0
538,Throh,Fighting,Fighting,,5,0,Standard,0
539,Sawk,Fighting,Fighting,,5,0,Standard,0
540,Sewaddle,Bug,Grass,,5,1,Standard,0
541,Swadloon,Bug,Grass,,5,2,Standard,0
542,Leavanny,Bug,Grass,,5,3,Standard,0
543,Venipede,Bug,Poison,,5,1,Standard,0
544,Whirlipede,Bug,Poison,,5,2,Standard,0
545,Scolipede,Bug,Poison,,5,3,Standard,2
546,Cottonee,Grass,Fairy,,5,1,Standard,0
547,Whimsicott,Grass,Fairy,,5,2,Standard,0
548,Petilil,Grass,Grass,,5,1,Standard,0
549,Lilligant,Grass,Grass,,5,2,Standard,0
550,Basculin,Water,Water,,5,0,Standard,0
551,Sandile,Ground,Dark,,5,1,Standard,0
552,Krokorok,Ground,Dark,,5,2,Standard,0
553,Krookodile,Ground,Dark,,5,3,Standard,0
554,Darumaka,Fire,Fire,,5,1,Standard,0
554,Darumaka,Ice,Ice,Galarian,5,1,Standard,0
555,Darmanitan,Fire,Fire,,5,2,Standard,0
555,Darmanitan,Fire,Psychic,,5,2,Standard,0
555,Darmanitan,Ice,Ice,Galarian,5,2,Standard,0
555,Darmanitan,Ice,Fire,Galarian,5,2,Standard,0
556,Maractus,Grass,Grass,,5,0,Standard,0
557,Dwebble,Bug,Rock,,5,1,Standard,0
558,Crustle,Bug,Rock,,5,2,Standard,2
559,Scraggy,Dark,Fighting,,5,1,Standard,0
560,Scrafty,Dark,Fighting,,5,2,Standard,0
561,Sigilyph,Psychic,Flying,,5,0,Standard,1
562,Yamask,Ghost,Ghost,,5,1,Standard,0
562,Yamask,Ground,Ghost,Galarian,5,1,Standard,0
563,Cofagrigus,Ghost,Ghost,,5,2,Standard,0
564,Tirtouga,Water,Rock,,5,1,Ancient,0
565,Carracosta,Water,Rock,,5,2,Ancient,0
566,Archen,Rock,Flying,,5,1,Ancient,0
567,Archeops,Rock,Flying,,5,2,Ancient,1
568,Trubbish,Poison,Poison,,5,1,Standard,1
569,Garbodor,Poison,Poison,,5,2,Standard,0
570,Zorua,Dark,Dark,,5,1,Standard,0
571,Zoroark,Dark,Dark,,5,2,Standard,0
572,Minccino,Normal,Normal,,5,1,Standard,0
573,Cinccino,Normal,Normal,,5,2,Standard,0
574,Gothita,Psychic,Psychic,,5,1,Standard,0
575,Gothorita,Psychic,Psychic,,5,2,Standard,0
576,Gothitelle,Psychic,Psychic,,5,3,Standard,0
577,Solosis,Psychic,Psychic,,5,1,Standard,0
578,Duosion,Psychic,Psychic,,5,2,Standard,0
579,Reuniclus,Psychic,Psychic,,5,3,Standard,0
580,Ducklett,Water,Flying,,5,1,Standard,1
581,Swanna,Water,Flying,,5,2,Standard,1
582,Vanillite,Ice,Ice,,5,1,Standard,0
583,Vanillish,Ice,Ice,,5,2,Standard,0
584,Vanilluxe,Ice,Ice,,5,3,Standard,1
585,Deerling,Normal,Grass,,5,1,Standard,1
586,Sawsbuck,Normal,Grass,,5,2,Standard,1
587,Emolga,Electric,Flying,,5,0,Standard,1
588,Karrablast,Bug,Bug,,5,1,Standard,0
589,Escavalier,Bug,Steel,,5,2,Standard,0
590,Foongus,Grass,Poison,,5,1,Standard,2
591,Amoonguss,Grass,Poison,,5,2,Standard,0
592,Frillish,Water,Ghost,,5,1,Standard,1
593,Jellicent,Water,Ghost,,5,2,Standard,0
594,Alomomola,Water,Water,,5,0,Standard,1
595,Joltik,Bug,Electric,,5,1,Standard,1
596,Galvantula,Bug,Electric,,5,2,Standard,0
597,Ferroseed,Grass,Steel,,5,1,Standard,0
598,Ferrothorn,Grass,Steel,,5,2,Standard,0
599,Klink,Steel,Steel,,5,1,Standard,0
600,Klang,Steel,Steel,,5,2,Standard,0
601,Klinklang,Steel,Steel,,5,3,Standard,0
602,Tynamo,Electric,Electric,,5,1,Standard,0
603,Eelektrik,Electric,Electric,,5,2,Standard,0
604,Eelektross,Electric,Electric,,5,3,Standard,0
605,Elgyem,Psychic,Psychic,,5,1,Standard,0
606,Beheeyem,Psychic,Psychic,,5,2,Standard,1
607,Litwick,Ghost,Fire,,5,1,Standard,0
608,Lampent,Ghost,Fire,,5,2,Standard,0
609,Chandelure,Ghost,Fire,,5,3,Standard,1
610,Axew,Dragon,Dragon,,5,1,Standard,0
611,Fraxure,Dragon,Dragon,,5,2,Standard,0
612,Haxorus,Dragon,Dragon,,5,3,Standard,0
613,Cubchoo,Ice,Ice,,5,1,Standard,1
614,Beartic,Ice,Ice,,5,2,Standard,1
615,Cryogonal,Ice,Ice,,5,0,Standard,0
616,Shelmet,Bug,Bug,,5,1,Standard,0
617,Accelgor,Bug,Bug,,5,2,Standard,0
618,Stunfisk,Ground,Electric,,5,0,Standard,1
618,Stunfisk,Ground,Steel,Galarian,5,0,Standard,0
619,Mienfoo,Fighting,Fighting,,5,1,Standard,0
620,Mienshao,Fighting,Fighting,,5,2,Standard,0
621,Druddigon,Dragon,Dragon,,5,0,Standard,0
622,Golett,Ground,Ghost,,5,1,Standard,0
623,Golurk,Ground,Ghost,,5,2,Standard,1
624,Pawniard,Dark,Steel,,5,1,Standard,0
625,Bisharp,Dark,Steel,,5,2,Standard,0
626,Bouffalant,Normal,Normal,,5,0,Standard,1
627,Rufflet,Normal,Flying,,5,1,Standard,0
628,Braviary,Normal,Flying,,5,2,Standard,1
629,Vullaby,Dark,Flying,,5,1,Standard,0
630,Mandibuzz,Dark,Flying,,5,2,Standard,1
631,Heatmor,Fire,Fire,,5,0,Standard,0
632,Durant,Bug,Steel,,5,0,Standard,0
633,Deino,Dark,Dragon,,5,1,Standard,0
634,Zweilous,Dark,Dragon,,5,2,Standard,0
635,Hydreigon,Dark,Dragon,,5,3,Standard,1
636,Larvesta,Bug,Fire,,5,1,Standard,0
637,Volcarona,Bug,Fire,,5,2,Standard,1
638,Cobalion,Steel,Fighting,,5,0,Sub-Legendary,0
639,Terrakion,Rock,Fighting,,5,0,Sub-Legendary,0
640,Virizion,Grass,Fighting,,5,0,Sub-Legendary,0
641,Tornadus,Flying,Flying,,5,0,Sub-Legendary,0
642,Thundurus,Electric,Flying,,5,0,Sub-Legendary,0
643,Reshiram,Dragon,Fire,,5,0,Legendary,0
644,Zekrom,Dragon,Electric,,5,0,Legendary,0
645,Landorus,Ground,Flying,,5,0,Sub-Legendary,0
646,Kyurem,Dragon,Ice,,5,0,Legendary,0
647,Keldeo,Water,Fighting,,5,0,Mythical,0
648,Meloetta,Normal,Psychic,,5,0,Mythical,0
648,Meloetta,Normal,Fighting,,5,0,Mythical,0
649,Genesect,Bug,Steel,,5,0,Mythical,0
650,Chespin,Grass,Grass,,6,1,Starter,0
651,Quilladin,Grass,Grass,,6,2,Starter,0
652,Chesnaught,Grass,Fighting,,6,3,Starter,0
653,Fennekin,Fire,Fire,,6,1,Starter,0
654,Braixen,Fire,Fire,,6,2,Starter,0
655,Delphox,Fire,Psychic,,6,3,Starter,0
656,Froakie,Water,Water,,6,1,Starter,0
657,Frogadier,Water,Water,,6,2,Starter,0
658,Greninja,Water,Dark,,6,3,Starter,0
659,Bunnelby,Normal,Normal,,6,1,Standard,1
660,Diggersby,Normal,Ground,,6,2,Standard,0
661,Fletchling,Normal,Flying,,6,1,Standard,0
662,Fletchinder,Fire,Flying,,6,2,Standard,0
663,Talonflame,Fire,Flying,,6,3,Standard,1
664,Scatterbug,Bug,Bug,,6,1,Standard,0
665,Spewpa,Bug,Bug,,6,2,Standard,0
666,Vivillon,Bug,Flying,,6,3,Standard,1
667,Litleo,Fire,Normal,,6,1,Standard,0
668,Pyroar,Fire,Normal,,6,2,Standard,0
669,Flabébé,Fairy,Fairy,,6,1,Standard,0
670,Floette,Fairy,Fairy,,6,2,Standard,0
671,Florges,Fairy,Fairy,,6,3,Standard,1
672,Skiddo,Grass,Grass,,6,1,Standard,0
673,Gogoat,Grass,Grass,,6,2,Standard,0
674,Pancham,Fighting,Fighting,,6,1,Standard,1
675,Pangoro,Fighting,Dark,,6,2,Standard,0
676,Furfrou,Normal,Normal,,6,0,Standard,0
677,Espurr,Psychic,Psychic,,6,1,Standard,1
678,Meowstic,Psychic,Psychic,,6,2,Standard,0
679,Honedge,Steel,Ghost,,6,1,Standard,0
680,Doublade,Steel,Ghost,,6,2,Standard,0
681,Aegislash,Steel,Ghost,,6,3,Standard,0
682,Spritzee,Fairy,Fairy,,6,1,Standard,0
683,Aromatisse,Fairy,Fairy,,6,2,Standard,0
684,Swirlix,Fairy,Fairy,,6,1,Standard,0
685,Slurpuff,Fairy,Fairy,,6,2,Standard,0
686,Inkay,Dark,Psychic,,6,1,Standard,1
687,Malamar,Dark,Psychic,,6,2,Standard,0
688,Binacle,Rock,Water,,6,1,Standard,0
689,Barbaracle,Rock,Water,,6,2,Standard,0
690,Skrelp,Poison,Water,,6,1,Standard,0
691,Dragalge,Poison,Dragon,,6,2,Standard,0
692,Clauncher,Water,Water,,6,1,Standard,0
693,Clawitzer,Water,Water,,6,2,Standard,1
694,Helioptile,Electric,Normal,,6,1,Standard,0
695,Heliolisk,Electric,Normal,,6,2,Standard,1
696,Tyrunt,Rock,Dragon,,6,1,Ancient,0
697,Tyrantrum,Rock,Dragon,,6,2,Ancient,1
698,Amaura,Rock,Ice,,6,1,Ancient,0
699,Aurorus,Rock,Ice,,6,2,Ancient,1
700,Sylveon,Fairy,Fairy,,6,2,Starter,1
701,Hawlucha,Fighting,Flying,,6,0,Standard,0
702,Dedenne,Electric,Fairy,,6,0,Standard,1
703,Carbink,Rock,Fairy,,6,0,Standard,1
704,Goomy,Dragon,Dragon,,6,1,Standard,0
705,Sliggoo,Dragon,Dragon,,6,2,Standard,0
706,Goodra,Dragon,Dragon,,6,3,Standard,1
707,Klefki,Steel,Fairy,,6,0,Standard,0
708,Phantump,Ghost,Grass,,6,1,Standard,0
709,Trevenant,Ghost,Grass,,6,2,Standard,1
710,Pumpkaboo,Ghost,Grass,,6,1,Standard,1
711,Gourgeist,Ghost,Grass,,6,2,Standard,0
712,Bergmite,Ice,Ice,,6,1,Standard,0
713,Avalugg,Ice,Ice,,6,2,Standard,1
714,Noibat,Flying,Dragon,,6,1,Standard,1
715,Noivern,Flying,Dragon,,6,2,Standard,1
716,Xerneas,Fairy,Fairy,,6,0,Legendary,1
717,Yveltal,Dark,Flying,,6,0,Legendary,0
718,Zygarde,Dragon,Ground,,6,0,Legendary,0
719,Diancie,Rock,Fairy,,6,0,Mythical,1
720,Hoopa,Psychic,Ghost,,6,0,Mythical,0
720,Hoopa,Psychic,Dark,,6,0,Mythical,0
721,Volcanion,Fire,Water,,6,0,Mythical,0
722,Rowlet,Grass,Flying,,7,1,Starter,0
723,Dartrix,Grass,Flying,,7,2,Starter,0
724,Decidueye,Grass,Ghost,,7,3,Starter,0
725,Litten,Fire,Fire,,7,1,Starter,0
726,Torracat,Fire,Fire,,7,2,Starter,0
727,Incineroar,Fire,Dark,,7,3,Starter,0
728,Popplio,Water,Water,,7,1,Starter,0
729,Brionne,Water,Water,,7,2,Starter,0
730,Primarina,Water,Fairy,,7,3,Starter,1
731,Pikipek,Normal,Flying,,7,1,Standard,1
732,Trumbeak,Normal,Flying,,7,2,Standard,0
733,Toucannon,Normal,Flying,,7,3,Standard,1
734,Yungoos,Normal,Normal,,7,1,Standard,0
735,Gumshoos,Normal,Normal,,7,2,Standard,0
736,Grubbin,Bug,Bug,,7,1,Standard,0
737,Charjabug,Bug,Electric,,7,2,Standard,0
738,Vikavolt,Bug,Electric,,7,3,Standard,0
739,Crabrawler,Fighting,Fighting,,7,1,Standard,1
740,Crabominable,Fighting,Ice,,7,2,Standard,1
741,Oricorio,Fire,Flying,,7,0,Standard,0
741,Oricorio,Electric,Flying,,7,0,Standard,0
741,Oricorio,Psychic,Flying,,7,0,Standard,0
741,Oricorio,Ghost,Flying,,7,0,Standard,0
742,Cutiefly,Bug,Fairy,,7,1,Standard,1
743,Ribombee,Bug,Fairy,,7,2,Standard,0
744,Rockruff,Rock,Rock,,7,1,Standard,2
745,Lycanroc,Rock,Rock,,7,2,Standard,1
746,Wishiwashi,Water,Water,,7,0,Standard,1
747,Mareanie,Poison,Water,,7,1,Standard,1
748,Toxapex,Poison,Water,,7,2,Standard,0
749,Mudbray,Ground,Ground,,7,1,Standard,0
750,Mudsdale,Ground,Ground,,7,2,Standard,0
751,Dewpider,Water,Bug,,7,1,Standard,0
752,Araquanid,Water,Bug,,7,2,Standard,0
753,Fomantis,Grass,Grass,,7,1,Standard,0
754,Lurantis,Grass,Grass,,7,2,Standard,0
755,Morelull,Grass,Fairy,,7,1,Standard,1
756,Shiinotic,Grass,Fairy,,7,2,Standard,0
757,Salandit,Poison,Fire,,7,1,Standard,1
758,Salazzle,Poison,Fire,,7,2,Standard,2
759,Stufful,Normal,Fighting,,7,1,Standard,0
760,Bewear,Normal,Fighting,,7,2,Standard,1
761,Bounsweet,Grass,Grass,,7,1,Standard,1
762,Steenee,Grass,Grass,,7,2,Standard,0
763,Tsareena,Grass,Grass,,7,3,Standard,0
764,Comfey,Fairy,Fairy,,7,0,Standard,1
765,Oranguru,Normal,Psychic,,7,0,Standard,0
766,Passimian,Fighting,Fighting,,7,0,Standard,0
767,Wimpod,Bug,Water,,7,1,Standard,0
768,Golisopod,Bug,Water,,7,2,Standard,1
769,Sandygast,Ghost,Ground,,7,1,Standard,1
770,Palossand,Ghost,Ground,,7,2,Standard,0
771,Pyukumuku,Water,Water,,7,0,Standard,1
772,Type: Null,Normal,Normal,,7,1,Sub-Legendary,0
773,Silvally,Normal,Normal,,7,2,Sub-Legendary,0
774,Minior,Rock,Flying,,7,0,Standard,1
775,Komala,Normal,Normal,,7,0,Standard,0
776,Turtonator,Fire,Dragon,,7,0,Standard,0
777,Togedemaru,Electric,Steel,,7,0,Standard,0
778,Mimikyu,Ghost,Fairy,,7,0,Standard,0
779,Bruxish,Water,Psychic,,7,0,Standard,0
780,Drampa,Normal,Dragon,,7,0,Standard,1
781,Dhelmise,Ghost,Grass,,7,0,Standard,0
782,Jangmo-o,Dragon,Dragon,,7,1,Standard,0
783,Hakamo-o,Dragon,Fighting,,7,2,Standard,0
784,Kommo-o,Dragon,Fighting,,7,3,Standard,0
785,Tapu Koko,Electric,Fairy,,7,0,Sub-Legendary,0
786,Tapu Lele,Psychic,Fairy,,7,0,Sub-Legendary,0
787,Tapu Bulu,Grass,Fairy,,7,0,Sub-Legendary,0
788,Tapu Fini,Water,Fairy,,7,0,Sub-Legendary,0
789,Cosmog,Psychic,Psychic,,7,1,Legendary,0
790,Cosmoem,Psychic,Psychic,,7,2,Legendary,0
791,Solgaleo,Psychic,Steel,,7,3,Legendary,0
792,Lunala,Psychic,Ghost,,7,3,Legendary,0
793,Nihilego,Rock,Poison,,7,0,Sub-Legendary,0
794,Buzzwole,Bug,Fighting,,7,0,Sub-Legendary,0
795,Pheromosa,Bug,Fighting,,7,0,Sub-Legendary,0
796,Xurkitree,Electric,Electric,,7,0,Sub-Legendary,0
797,Celesteela,Steel,Flying,,7,0,Sub-Legendary,0
798,Kartana,Grass,Steel,,7,0,Sub-Legendary,0
799,Guzzlord,Dark,Dragon,,7,0,Sub-Legendary,0
800,Necrozma,Psychic,Psychic,,7,0,Legendary,0
801,Magearna,Steel,Fairy,,7,0,Mythical,0
802,Marshadow,Fighting,Ghost,,7,0,Mythical,0
803,Poipole,Poison,Poison,,7,1,Sub-Legendary,0
804,Naganadel,Poison,Dragon,,7,2,Sub-Legendary,0
805,Stakataka,Rock,Steel,,7,0,Sub-Legendary,0
806,Blacephalon,Fire,Ghost,,7,0,Sub-Legendary,0
807,Zeraora,Electric,Electric,,7,0,Mythical,0
808,Meltan,Steel,Steel,,7,1,Mythical,0
809,Melmetal,Steel,Steel,,7,2,Mythical,0
810,Grookey,Grass,Grass,,8,1,Starter,1
811,Thwackey,Grass,Grass,,8,2,Starter,0
812,Rillaboom,Grass,Grass,,8,3,Starter,0
813,Scorbunny,Fire,Fire,,8,1,Starter,1
814,Raboot,Fire,Fire,,8,2,Starter,0
815,Cinderace,Fire,Fire,,8,3,Starter,0
816,Sobble,Water,Water,,8,1,Starter,1
817,Drizzile,Water,Water,,8,2,Starter,0
818,Inteleon,Water,Water,,8,3,Starter,0
819,Skwovet,Normal,Normal,,8,1,Standard,0
820,Greedent,Normal,Normal,,8,2,Standard,0
821,Rookidee,Flying,Flying,,8,1,Standard,0
822,Corvisquire,Flying,Flying,,8,2,Standard,0
823,Corviknight,Flying,Steel,,8,3,Standard,0
824,Blipbug,Bug,Bug,,8,1,Standard,0
825,Dottler,Bug,Psychic,,8,2,Standard,0
826,Orbeetle,Bug,Psychic,,8,3,Standard,0
827,Nickit,Dark,Dark,,8,1,Standard,0
828,Thievul,Dark,Dark,,8,2,Standard,0
829,Gossifleur,Grass,Grass,,8,1,Standard,0
830,Eldegoss,Grass,Grass,,8,2,Standard,1
831,Wooloo,Normal,Normal,,8,1,Standard,0
832,Dubwool,Normal,Normal,,8,2,Standard,0
833,Chewtle,Water,Water,,8,1,Standard,0
834,Drednaw,Water,Rock,,8,2,Standard,0
835,Yamper,Electric,Electric,,8,1,Standard,0
836,Boltund,Electric,Electric,,8,2,Standard,0
837,Rolycoly,Rock,Rock,,8,1,Standard,0
838,Carkol,Rock,Fire,,8,2,Standard,0
839,Coalossal,Rock,Fire,,8,3,Standard,0
840,Applin,Grass,Dragon,,8,1,Standard,1
841,Flapple,Grass,Dragon,,8,2,Standard,0
842,Appletun,Grass,Dragon,,8,2,Standard,0
843,Silicobra,Ground,Ground,,8,1,Standard,1
844,Sandaconda,Ground,Ground,,8,2,Standard,0
845,Cramorant,Flying,Water,,8,0,Standard,0
846,Arrokuda,Water,Water,,8,1,Standard,0
847,Barraskewda,Water,Water,,8,2,Standard,0
848,Toxel,Electric,Poison,,8,1,Standard,0
849,Toxtricity,Electric,Poison,,8,2,Standard,0
850,Sizzlipede,Fire,Bug,,8,1,Standard,0
851,Centiskorch,Fire,Bug,,8,2,Standard,0
852,Clobbopus,Fighting,Fighting,,8,1,Standard,0
853,Grapploct,Fighting,Fighting,,8,2,Standard,0
854,Sinistea,Ghost,Ghost,,8,1,Standard,0
855,Polteageist,Ghost,Ghost,,8,2,Standard,0
856,Hatenna,Psychic,Psychic,,8,1,Standard,0
857,Hattrem,Psychic,Psychic,,8,2,Standard,0
858,Hatterene,Psychic,Fairy,,8,3,Standard,0
859,Impidimp,Dark,Fairy,,8,1,Standard,0
860,Morgrem,Dark,Fairy,,8,2,Standard,0
861,Grimmsnarl,Dark,Fairy,,8,3,Standard,0
862,Obstagoon,Dark,Normal,,8,3,Standard,0
863,Perrserker,Steel,Steel,,8,2,Standard,0
864,Cursola,Ghost,Ghost,,8,2,Standard,0
865,Sirfetch'd,Fighting,Fighting,,8,2,Standard,0
866,Mr. Rime,Ice,Psychic,,8,3,Standard,0
867,Runerigus,Ground,Ghost,,8,2,Standard,0
868,Milcery,Fairy,Fairy,,8,1,Standard,0
869,Alcremie,Fairy,Fairy,,8,2,Standard,0
870,Falinks,Fighting,Fighting,,8,0,Standard,0
871,Pincurchin,Electric,Electric,,8,0,Standard,0
872,Snom,Ice,Bug,,8,1,Standard,1
873,Frosmoth,Ice,Bug,,8,2,Standard,0
874,Stonjourner,Rock,Rock,,8,0,Standard,0
875,Eiscue,Ice,Ice,,8,0,Standard,0
876,Indeedee,Psychic,Normal,,8,0,Standard,0
877,Morpeko,Electric,Dark,,8,0,Standard,0
878,Cufant,Steel,Steel,,8,1,Standard,0
879,Copperajah,Steel,Steel,,8,2,Standard,0
880,Dracozolt,Electric,Dragon,,8,0,Ancient,0
881,Arctozolt,Electric,Ice,,8,0,Ancient,0
882,Dracovish,Water,Dragon,,8,0,Ancient,0
883,Arctovish,Water,Ice,,8,0,Ancient,0
884,Duraludon,Steel,Dragon,,8,0,Standard,0
885,Dreepy,Dragon,Ghost,,8,1,Standard,0
886,Drakloak,Dragon,Ghost,,8,2,Standard,0
887,Dragapult,Dragon,Ghost,,8,3,Standard,0
888,Zacian,Fairy,Fairy,,8,0,Legendary,0
888,Zacian,Fairy,Steel,,8,0,Legendary,0
889,Zamazenta,Fighting,Fighting,,8,0,Legendary,0
889,Zamazenta,Fighting,Steel,,8,0,Legendary,0
890,Eternatus,Poison,Dragon,,8,0,Legendary,0
891,Kubfu,Fighting,Fighting,,8,1,Sub-Legendary,0
892,Urshifu,Fighting,Dark,,8,2,Sub-Legendary,0
892,Urshifu,Fighting,Water,,8,2,Sub-Legendary,0
893,Zarude,Dark,Grass,,8,0,Mythical,0
894,Regieleki,Electric,Electric,,8,0,Sub-Legendary,0
895,Regidrago,Dragon,Dragon,,8,0,Sub-Legendary,0
896,Glastrier,Ice,Ice,,8,0,Sub-Legendary,0
897,Spectrier,Ghost,Ghost,,8,0,Sub-Legendary,0
898,Calyrex,Psychic,Grass,,8,0,Legendary,0
898,Calyrex,Psychic,Ice,,8,0,Legendary,0
898,Calyrex,Psychic,Ghost,,8,0,Legendary,0
