ProductPK,Series,CardName,CardNumber,Rarity,SpotlightPrice,InsertedDTM,LastModifiedDTM
44448,Fossil,Ekans,46/62,Common,0.10,2025-05-31 19:11:38,2025-05-31 19:11:38
44449,Fossil,Geodude,47/62,Common,0.11,2025-05-31 19:11:38,2025-05-31 19:11:38
44450,Fossil,Grimer,48/62,Common,1.12,2025-05-31 19:11:38,2025-05-31 19:11:38
44451,Fossil,Horsea,49/62,Common,0.22,2025-05-31 19:11:38,2025-05-31 19:11:38
44452,Fossil,Kabuto,50/62,Common,0.37,2025-05-31 19:11:38,2025-05-31 19:11:38
44453,Fossil,Krabby,51/62,Common,0.12,2025-05-31 19:11:38,2025-05-31 19:11:38
44454,Fossil,Omanyte,52/62,Common,0.25,2025-05-31 19:11:38,2025-05-31 19:11:38
44455,Fossil,Psyduck,53/62,Common,0.30,2025-05-31 19:11:38,2025-05-31 19:11:38
44456,Fossil,Shellder,54/62,Common,0.69,2025-05-31 19:11:38,2025-05-31 19:11:38
44457,Fossil,Slowpoke,55/62,Common,0.59,2025-05-31 19:11:38,2025-05-31 19:11:38
44458,Fossil,Tentacool,56/62,Common,0.09,2025-05-31 19:11:38,2025-05-31 19:11:38
44459,Fossil,Zubat,57/62,Common,0.15,2025-05-31 19:11:38,2025-05-31 19:11:38
44460,Fossil,Mr. Fuji,58/62,Uncommon,0.23,2025-05-31 19:11:38,2025-05-31 19:11:38
44461,Fossil,Energy Search,59/62,Common,0.27,2025-05-31 19:11:38,2025-05-31 19:11:38
44462,Fossil,Gambler,60/62,Common,0.11,2025-05-31 19:11:38,2025-05-31 19:11:38
44463,Fossil,Recycle,61/62,Common,0.07,2025-05-31 19:11:38,2025-05-31 19:11:38
44464,Fossil,Mysterious Fossil,62/62,Common,0.17,2025-05-31 19:11:38,2025-05-31 19:11:38
45120,Jungle,Clefable (1),01/64,Holo Rare,7.42,2025-05-31 19:11:38,2025-05-31 19:11:38
45121,Jungle,Scyther (10),10/64,Holo Rare,108.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45122,Jungle,Snorlax (11),11/64,Holo Rare,59.99,2025-05-31 19:11:38,2025-05-31 19:11:38
45123,Jungle,Vaporeon (12),12/64,Holo Rare,29.38,2025-05-31 19:11:38,2025-05-31 19:11:38
45124,Jungle,Venomoth (13),13/64,Holo Rare,14.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45125,Jungle,Victreebel (14),14/64,Holo Rare,18.46,2025-05-31 19:11:38,2025-05-31 19:11:38
45126,Jungle,Vileplume (15),15/64,Holo Rare,8.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45127,Jungle,Wigglytuff (16),16/64,Holo Rare,6.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45128,Jungle,Electrode (2),02/64,Holo Rare,6.01,2025-05-31 19:11:38,2025-05-31 19:11:38
45129,Jungle,Flareon (3),03/64,Holo Rare,44.98,2025-05-31 19:11:38,2025-05-31 19:11:38
45130,Jungle,Jolteon (4),04/64,Holo Rare,74.75,2025-05-31 19:11:38,2025-05-31 19:11:38
45131,Jungle,Kangaskhan (5),05/64,Holo Rare,1.95,2025-05-31 19:11:38,2025-05-31 19:11:38
45132,Jungle,Mr. Mime (6),06/64,Holo Rare,66.52,2025-05-31 19:11:38,2025-05-31 19:11:38
45133,Jungle,Nidoqueen (7),07/64,Holo Rare,20.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45134,Jungle,Pidgeot (8),08/64,Holo Rare,15.48,2025-05-31 19:11:38,2025-05-31 19:11:38
45135,Jungle,Pinsir (9),09/64,Holo Rare,8.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45136,Jungle,Butterfree,33/64,Uncommon,0.32,2025-05-31 19:11:38,2025-05-31 19:11:38
45137,Jungle,Dodrio,34/64,Uncommon,0.43,2025-05-31 19:11:38,2025-05-31 19:11:38
45138,Jungle,Exeggutor,35/64,Uncommon,0.21,2025-05-31 19:11:38,2025-05-31 19:11:38
45139,Jungle,Fearow,36/64,Uncommon,0.38,2025-05-31 19:11:38,2025-05-31 19:11:38
45140,Jungle,Gloom,37/64,Uncommon,0.30,2025-05-31 19:11:38,2025-05-31 19:11:38
45141,Jungle,Lickitung,38/64,Uncommon,0.33,2025-05-31 19:11:38,2025-05-31 19:11:38
45142,Jungle,Marowak,39/64,Uncommon,2.43,2025-05-31 19:11:38,2025-05-31 19:11:38
45143,Jungle,Nidorina,40/64,Uncommon,0.10,2025-05-31 19:11:38,2025-05-31 19:11:38
45144,Jungle,Parasect,41/64,Uncommon,0.35,2025-05-31 19:11:38,2025-05-31 19:11:38
45145,Jungle,Persian,42/64,Uncommon,0.35,2025-05-31 19:11:38,2025-05-31 19:11:38
45146,Jungle,Primeape,43/64,Uncommon,0.43,2025-05-31 19:11:38,2025-05-31 19:11:38
45147,Jungle,Rapidash,44/64,Uncommon,0.76,2025-05-31 19:11:38,2025-05-31 19:11:38
45148,Jungle,Rhydon,45/64,Uncommon,0.99,2025-05-31 19:11:38,2025-05-31 19:11:38
45149,Jungle,Seaking,46/64,Uncommon,0.62,2025-05-31 19:11:38,2025-05-31 19:11:38
45150,Jungle,Tauros,47/64,Uncommon,0.34,2025-05-31 19:11:38,2025-05-31 19:11:38
45151,Jungle,Weepinbell,48/64,Uncommon,2.00,2025-05-31 19:11:38,2025-05-31 19:11:38
45152,Jungle,Bellsprout,49/64,Common,0.22,2025-05-31 19:11:38,2025-05-31 19:11:38
45153,Jungle,Cubone,50/64,Common,1.28,2025-05-31 19:11:38,2025-05-31 19:11:38
45154,Jungle,Eevee,51/64,Common,0.35,2025-05-31 19:11:38,2025-05-31 19:11:38
45155,Jungle,Exeggcute,52/64,Common,0.24,2025-05-31 19:11:38,2025-05-31 19:11:38
45156,Jungle,Goldeen,53/64,Common,0.19,2025-05-31 19:11:38,2025-05-31 19:11:38
45157,Jungle,Jigglypuff,54/64,Common,0.29,2025-05-31 19:11:38,2025-05-31 19:11:38
45158,Jungle,Mankey,55/64,Common,0.17,2025-05-31 19:11:38,2025-05-31 19:11:38
45159,Jungle,Meowth,56/64,Common,0.26,2025-05-31 19:11:38,2025-05-31 19:11:38
45160,Jungle,Nidoran F,57/64,Common,0.23,2025-05-31 19:11:38,2025-05-31 19:11:38
45161,Jungle,Oddish,58/64,Common,0.32,2025-05-31 19:11:38,2025-05-31 19:11:38
45162,Jungle,Paras,59/64,Common,0.82,2025-05-31 19:11:38,2025-05-31 19:11:38
45163,Jungle,Pikachu,60/64,Common,0.40,2025-05-31 19:11:38,2025-05-31 19:11:38
45164,Jungle,Rhyhorn,61/64,Common,0.20,2025-05-31 19:11:38,2025-05-31 19:11:38
45165,Jungle,Spearow,62/64,Common,0.21,2025-05-31 19:11:38,2025-05-31 19:11:38
45166,Jungle,Venonat,63/64,Common,0.20,2025-05-31 19:11:38,2025-05-31 19:11:38
45167,Jungle,Poke Ball,64/64,Common,0.14,2025-05-31 19:11:38,2025-05-31 19:11:38
